,embalaje,largo,alto,ancho,peso,procedencia,manipulacion,temperatura,protocolo
77,C,10,11,6,132.0,D,normal,refrigerado,Protocolo_1
78,C,10,6,11,132.0,D,normal,normal,Protocolo_1
79,B,75,75,74,83250.0,B,fragil,refrigerado,Protocolo_1
80,A,50,53,49,25970.0,B,normal,normal,Protocolo_2
81,C,10,5,13,130.0,D,normal,normal,Protocolo_1
82,B,75,72,70,75600.0,A,fragil,normal,Protocolo_1
83,B,75,76,74,84360.0,B,normal,normal,Protocolo_2
84,A,50,53,45,23850.0,D,normal,normal,Protocolo_2
85,B,75,77,79,91245.0,A,normal,normal,Protocolo_2
86,C,10,7,10,140.0,D,normal,normal,Protocolo_1
87,C,10,8,11,176.0,D,fragil,refrigerado,Protocolo_1
88,A,50,49,50,24500.0,B,fragil,refrigerado,Protocolo_1
89,C,10,14,7,196.0,D,normal,normal,Protocolo_1
90,B,75,75,79,88875.0,D,fragil,normal,Protocolo_1
91,C,10,9,10,180.0,D,normal,refrigerado,Protocolo_1
92,B,75,72,76,82080.0,C,fragil,refrigerado,Protocolo_1
93,C,10,6,11,132.0,A,normal,normal,Protocolo_1
94,C,10,8,7,112.0,A,fragil,normal,Protocolo_1
95,A,50,53,50,26500.0,D,normal,normal,Protocolo_2
96,C,10,12,5,120.0,A,normal,normal,Protocolo_1
97,A,50,55,51,28050.0,A,fragil,normal,Protocolo_1
98,A,50,46,47,21620.0,D,normal,normal,Protocolo_2
99,C,10,9,9,162.0,D,normal,normal,Protocolo_1
100,B,75,74,73,81030.0,D,normal,normal,Protocolo_2
101,B,75,77,78,90090.0,D,normal,normal,Protocolo_2
102,B,75,80,71,85200.0,B,fragil,normal,Protocolo_1
103,A,50,45,52,23400.0,D,normal,normal,Protocolo_2
104,B,75,80,74,88800.0,D,normal,refrigerado,Protocolo_1
105,C,10,8,12,192.0,A,fragil,normal,Protocolo_1
106,A,50,49,55,26950.0,A,fragil,refrigerado,Protocolo_1
107,A,50,55,50,27500.0,C,normal,normal,Protocolo_2
108,A,50,50,45,22500.0,A,fragil,refrigerado,Protocolo_1
109,B,75,79,71,84135.0,A,normal,normal,Protocolo_2
110,C,10,10,10,200.0,B,normal,refrigerado,Protocolo_1
111,C,10,7,11,154.0,C,normal,normal,Protocolo_1
112,A,50,53,46,24380.0,C,fragil,normal,Protocolo_1
113,B,75,73,75,82125.0,B,fragil,normal,Protocolo_1
114,C,10,15,8,240.0,D,fragil,refrigerado,Protocolo_1
115,A,50,46,46,21160.0,C,normal,normal,Protocolo_2
116,C,10,13,7,182.0,C,normal,refrigerado,Protocolo_1
117,C,10,7,7,98.0,D,normal,normal,Protocolo_1
118,B,75,76,75,85500.0,A,fragil,normal,Protocolo_1
119,C,10,11,13,286.0,D,fragil,normal,Protocolo_1
120,C,10,10,9,180.0,C,normal,normal,Protocolo_1
121,B,75,75,75,84375.0,B,normal,refrigerado,Protocolo_1
122,B,75,79,75,88875.0,D,fragil,normal,Protocolo_1
123,C,10,6,5,60.0,B,fragil,normal,Protocolo_1
124,B,75,74,80,88800.0,D,fragil,normal,Protocolo_1
125,B,75,79,73,86505.0,C,normal,normal,Protocolo_2
126,A,50,49,50,24500.0,D,normal,normal,Protocolo_2
127,A,50,53,51,27030.0,B,normal,normal,Protocolo_2
128,A,50,55,49,26950.0,C,normal,normal,Protocolo_2
129,A,50,52,51,26520.0,D,fragil,refrigerado,Protocolo_1
130,A,50,54,55,29700.0,B,normal,refrigerado,Protocolo_1
131,A,50,47,48,22560.0,B,fragil,normal,Protocolo_1
132,C,10,9,6,108.0,C,normal,normal,Protocolo_1
133,A,50,49,47,23030.0,D,normal,normal,Protocolo_2
134,C,10,15,9,270.0,C,normal,normal,Protocolo_1
135,B,75,74,73,81030.0,C,fragil,refrigerado,Protocolo_1
136,C,10,5,13,130.0,A,normal,normal,Protocolo_1
137,C,10,11,14,308.0,B,normal,normal,Protocolo_1
138,A,50,46,48,22080.0,A,normal,normal,Protocolo_2
139,B,75,75,80,90000.0,D,normal,normal,Protocolo_2
140,C,10,7,9,126.0,A,normal,normal,Protocolo_1
141,A,50,55,46,25300.0,A,normal,normal,Protocolo_2
142,C,10,13,8,208.0,D,fragil,normal,Protocolo_1
143,A,50,46,55,25300.0,B,normal,normal,Protocolo_2
144,A,50,52,49,25480.0,B,fragil,refrigerado,Protocolo_1
145,C,10,15,12,360.0,D,normal,normal,Protocolo_1
146,B,75,71,70,74550.0,B,normal,normal,Protocolo_2
147,C,10,8,8,128.0,D,fragil,normal,Protocolo_1
148,C,10,13,8,208.0,D,fragil,normal,Protocolo_1
149,C,10,10,6,120.0,B,normal,refrigerado,Protocolo_1
150,C,10,12,8,192.0,D,normal,normal,Protocolo_1
151,C,10,10,11,220.0,C,normal,refrigerado,Protocolo_1
152,B,75,76,75,85500.0,C,fragil,normal,Protocolo_1
153,C,10,11,10,220.0,D,normal,normal,Protocolo_1
154,C,10,7,6,84.0,C,fragil,normal,Protocolo_1
155,B,75,80,72,86400.0,C,fragil,normal,Protocolo_1
156,A,50,47,46,21620.0,D,normal,refrigerado,Protocolo_1
157,C,10,12,10,240.0,B,normal,normal,Protocolo_1
158,B,75,74,70,77700.0,A,fragil,normal,Protocolo_1
159,A,50,47,54,25380.0,B,fragil,normal,Protocolo_1
160,B,75,73,72,78840.0,A,normal,normal,Protocolo_2
161,A,50,54,46,24840.0,B,normal,normal,Protocolo_2
162,A,50,55,50,27500.0,B,fragil,normal,Protocolo_1
163,B,75,76,76,86640.0,B,fragil,normal,Protocolo_1
164,C,10,13,12,312.0,D,normal,refrigerado,Protocolo_1
165,B,75,70,75,78750.0,A,normal,normal,Protocolo_2
166,A,50,49,52,25480.0,A,normal,refrigerado,Protocolo_1
167,A,50,48,45,21600.0,D,fragil,normal,Protocolo_1
168,B,75,71,80,85200.0,D,normal,refrigerado,Protocolo_1
169,C,10,6,11,132.0,C,fragil,normal,Protocolo_1
170,A,50,46,55,25300.0,C,fragil,normal,Protocolo_1
171,A,50,50,51,25500.0,D,normal,normal,Protocolo_2
172,A,50,46,52,23920.0,D,normal,normal,Protocolo_2
173,B,75,71,75,79875.0,D,normal,normal,Protocolo_2
174,C,10,12,9,216.0,D,fragil,normal,Protocolo_1
175,B,75,75,75,84375.0,D,fragil,normal,Protocolo_1
176,A,50,53,49,25970.0,D,normal,refrigerado,Protocolo_1
177,B,75,79,79,93615.0,A,normal,normal,Protocolo_2
178,A,50,55,47,25850.0,D,fragil,normal,Protocolo_1
179,B,75,79,76,90060.0,B,fragil,normal,Protocolo_1
180,A,50,48,53,25440.0,C,fragil,refrigerado,Protocolo_1
181,A,50,49,48,23520.0,D,fragil,refrigerado,Protocolo_1
182,A,50,46,51,23460.0,C,normal,refrigerado,Protocolo_1
183,C,10,7,9,126.0,D,normal,normal,Protocolo_1
184,C,10,7,7,98.0,A,normal,normal,Protocolo_1
185,C,10,14,12,336.0,A,fragil,normal,Protocolo_1
186,A,50,45,47,21150.0,D,normal,normal,Protocolo_2
187,A,50,49,50,24500.0,A,normal,normal,Protocolo_2
188,A,50,51,49,24990.0,C,normal,refrigerado,Protocolo_1
189,B,75,71,78,83070.0,C,normal,normal,Protocolo_2
190,C,10,13,8,208.0,B,fragil,normal,Protocolo_1
191,B,75,78,76,88920.0,A,normal,refrigerado,Protocolo_1
192,A,50,49,52,25480.0,B,normal,refrigerado,Protocolo_1
193,A,50,49,47,23030.0,D,fragil,normal,Protocolo_1
194,C,10,5,9,90.0,A,normal,normal,Protocolo_1
195,C,10,15,8,240.0,C,normal,normal,Protocolo_1
196,A,50,46,47,21620.0,A,fragil,normal,Protocolo_1
197,A,50,51,46,23460.0,A,normal,normal,Protocolo_2
198,A,50,50,49,24500.0,D,normal,refrigerado,Protocolo_1
199,B,75,71,73,77745.0,C,normal,normal,Protocolo_2
200,B,75,71,78,83070.0,A,fragil,normal,Protocolo_1
201,B,75,74,74,82140.0,C,fragil,normal,Protocolo_1
202,A,50,53,45,23850.0,B,fragil,normal,Protocolo_1
203,A,50,50,52,26000.0,C,normal,normal,Protocolo_2
204,A,50,48,55,26400.0,C,fragil,refrigerado,Protocolo_1
205,A,50,51,51,26010.0,C,normal,normal,Protocolo_2
206,C,10,14,7,196.0,A,fragil,normal,Protocolo_1
207,A,50,48,52,24960.0,B,normal,normal,Protocolo_2
208,A,50,46,49,22540.0,D,normal,refrigerado,Protocolo_1
209,A,50,54,54,29160.0,B,normal,normal,Protocolo_2
210,A,50,53,49,25970.0,A,fragil,normal,Protocolo_1
211,B,75,79,74,87690.0,A,fragil,normal,Protocolo_1
212,A,50,52,54,28080.0,C,normal,normal,Protocolo_2
213,B,75,72,76,82080.0,C,normal,normal,Protocolo_2
214,B,75,75,73,82125.0,A,fragil,normal,Protocolo_1
215,B,75,79,71,84135.0,A,normal,normal,Protocolo_2
216,C,10,10,13,260.0,A,fragil,refrigerado,Protocolo_1
217,A,50,51,55,28050.0,C,fragil,refrigerado,Protocolo_1
218,C,10,8,7,112.0,C,fragil,refrigerado,Protocolo_1
219,A,50,55,51,28050.0,D,fragil,normal,Protocolo_1
220,C,10,7,12,168.0,D,fragil,normal,Protocolo_1
221,B,75,77,79,91245.0,A,fragil,refrigerado,Protocolo_1
222,A,50,47,48,22560.0,D,normal,normal,Protocolo_2
223,C,10,9,7,126.0,B,normal,normal,Protocolo_1
224,B,75,74,73,81030.0,B,normal,normal,Protocolo_2
225,B,75,71,76,80940.0,D,normal,normal,Protocolo_2
226,A,50,53,45,23850.0,A,fragil,normal,Protocolo_1
227,A,50,46,48,22080.0,B,normal,normal,Protocolo_2
228,A,50,50,55,27500.0,B,fragil,normal,Protocolo_1
229,C,10,8,5,80.0,D,normal,normal,Protocolo_1
230,B,75,76,79,90060.0,C,fragil,normal,Protocolo_1
231,C,10,11,8,176.0,A,fragil,normal,Protocolo_1
232,B,75,76,70,79800.0,C,normal,refrigerado,Protocolo_1
233,A,50,49,49,24010.0,A,fragil,refrigerado,Protocolo_1
234,B,75,75,72,81000.0,D,normal,refrigerado,Protocolo_1
235,A,50,49,45,22050.0,D,fragil,normal,Protocolo_1
236,A,50,53,47,24910.0,D,normal,normal,Protocolo_2
237,B,75,77,76,87780.0,B,normal,normal,Protocolo_2
238,C,10,10,7,140.0,C,fragil,normal,Protocolo_1
239,B,75,73,76,83220.0,A,normal,refrigerado,Protocolo_1
240,A,50,50,50,25000.0,A,normal,refrigerado,Protocolo_1
241,B,75,76,73,83220.0,D,fragil,normal,Protocolo_1
242,A,50,45,45,20250.0,B,fragil,normal,Protocolo_1
243,A,50,47,47,22090.0,B,fragil,normal,Protocolo_1
244,C,10,7,15,210.0,A,fragil,normal,Protocolo_1
245,C,10,8,9,144.0,A,normal,refrigerado,Protocolo_1
246,A,50,48,50,24000.0,C,normal,normal,Protocolo_2
247,A,50,54,55,29700.0,A,normal,refrigerado,Protocolo_1
248,C,10,10,9,180.0,D,normal,normal,Protocolo_1
249,C,10,9,15,270.0,A,normal,refrigerado,Protocolo_1
250,C,10,8,5,80.0,C,fragil,normal,Protocolo_1
251,A,50,50,51,25500.0,D,normal,normal,Protocolo_2
252,B,75,79,77,91245.0,B,normal,refrigerado,Protocolo_1
253,B,75,78,73,85410.0,C,fragil,normal,Protocolo_1
254,C,10,8,8,128.0,B,normal,normal,Protocolo_1
255,B,75,75,77,86625.0,B,normal,normal,Protocolo_2
256,A,50,46,51,23460.0,A,normal,normal,Protocolo_2
257,C,10,8,12,192.0,B,fragil,normal,Protocolo_1
258,B,75,73,80,87600.0,D,normal,refrigerado,Protocolo_1
259,A,50,46,55,25300.0,D,fragil,normal,Protocolo_1
260,B,75,75,70,78750.0,C,normal,normal,Protocolo_2
261,C,10,8,5,80.0,A,normal,refrigerado,Protocolo_1
262,B,75,79,73,86505.0,C,normal,normal,Protocolo_2
263,A,50,47,53,24910.0,A,normal,refrigerado,Protocolo_1
264,A,50,50,46,23000.0,B,normal,normal,Protocolo_2
265,B,75,73,71,77745.0,A,normal,refrigerado,Protocolo_1
266,B,75,77,76,87780.0,C,fragil,normal,Protocolo_1
267,B,75,70,73,76650.0,D,normal,normal,Protocolo_2
268,B,75,74,75,83250.0,C,normal,normal,Protocolo_2
269,C,10,9,6,108.0,A,normal,refrigerado,Protocolo_1
270,C,10,14,9,252.0,D,normal,normal,Protocolo_1
271,B,75,76,77,87780.0,B,fragil,normal,Protocolo_1
272,C,10,12,12,288.0,D,fragil,normal,Protocolo_1
273,C,10,9,14,252.0,C,fragil,normal,Protocolo_1
274,B,75,79,73,86505.0,C,normal,normal,Protocolo_2
275,C,10,15,8,240.0,C,fragil,normal,Protocolo_1
276,C,10,9,13,234.0,D,normal,normal,Protocolo_1
277,B,75,75,77,86625.0,A,normal,normal,Protocolo_2
278,C,10,12,7,168.0,B,normal,normal,Protocolo_1
279,C,10,13,7,182.0,C,normal,normal,Protocolo_1
280,B,75,73,75,82125.0,A,normal,refrigerado,Protocolo_1
281,C,10,9,9,162.0,A,fragil,normal,Protocolo_1
282,B,75,74,76,84360.0,A,fragil,normal,Protocolo_1
283,A,50,50,52,26000.0,A,normal,normal,Protocolo_2
284,A,50,47,45,21150.0,B,normal,normal,Protocolo_2
285,C,10,11,6,132.0,D,normal,normal,Protocolo_1
286,A,50,46,49,22540.0,A,normal,refrigerado,Protocolo_1
287,B,75,71,77,82005.0,C,fragil,normal,Protocolo_1
288,C,10,8,8,128.0,C,fragil,normal,Protocolo_1
289,A,50,52,49,25480.0,A,normal,normal,Protocolo_2
290,B,75,71,75,79875.0,C,normal,normal,Protocolo_2
291,A,50,54,45,24300.0,C,fragil,normal,Protocolo_1
292,A,50,49,55,26950.0,D,normal,refrigerado,Protocolo_1
293,C,10,11,9,198.0,A,normal,normal,Protocolo_1
294,B,75,72,74,79920.0,C,normal,normal,Protocolo_2
295,A,50,55,50,27500.0,C,fragil,refrigerado,Protocolo_1
296,A,50,47,51,23970.0,C,fragil,normal,Protocolo_1
297,C,10,15,9,270.0,D,fragil,normal,Protocolo_1
298,B,75,74,80,88800.0,D,fragil,normal,Protocolo_1
299,B,75,73,72,78840.0,A,normal,refrigerado,Protocolo_1
300,B,75,75,78,87750.0,A,fragil,normal,Protocolo_1
301,B,75,80,79,94800.0,D,fragil,refrigerado,Protocolo_1
302,A,50,46,46,21160.0,D,normal,normal,Protocolo_2
303,A,50,46,53,24380.0,A,fragil,normal,Protocolo_1
304,A,50,55,45,24750.0,C,normal,normal,Protocolo_2
305,C,10,14,11,308.0,B,normal,normal,Protocolo_1
306,C,10,9,7,126.0,C,normal,normal,Protocolo_1
307,A,50,50,48,24000.0,A,normal,normal,Protocolo_2
308,B,75,78,75,87750.0,C,fragil,normal,Protocolo_1
309,A,50,52,52,27040.0,D,normal,normal,Protocolo_2
310,A,50,54,51,27540.0,D,normal,normal,Protocolo_2
311,B,75,70,76,79800.0,B,normal,normal,Protocolo_2
312,C,10,10,7,140.0,B,normal,refrigerado,Protocolo_1
313,C,10,8,11,176.0,C,normal,normal,Protocolo_1
314,B,75,80,78,93600.0,B,normal,normal,Protocolo_2
315,A,50,45,50,22500.0,B,normal,refrigerado,Protocolo_1
316,C,10,6,11,132.0,B,fragil,refrigerado,Protocolo_1
317,B,75,77,78,90090.0,A,normal,refrigerado,Protocolo_1
318,C,10,8,11,176.0,A,fragil,normal,Protocolo_1
319,B,75,78,74,86580.0,D,normal,normal,Protocolo_2
320,C,10,7,10,140.0,A,normal,normal,Protocolo_1
321,C,10,7,6,84.0,B,normal,refrigerado,Protocolo_1
322,B,75,71,73,77745.0,B,normal,normal,Protocolo_2
323,A,50,55,54,29700.0,A,normal,normal,Protocolo_2
324,C,10,10,11,220.0,C,normal,refrigerado,Protocolo_1
325,B,75,80,70,84000.0,A,fragil,normal,Protocolo_1
326,B,75,80,76,91200.0,D,normal,normal,Protocolo_2
327,C,10,5,6,60.0,C,normal,normal,Protocolo_1
328,B,75,72,71,76680.0,A,normal,normal,Protocolo_2
329,A,50,51,54,27540.0,D,normal,refrigerado,Protocolo_1
330,A,50,52,50,26000.0,D,fragil,normal,Protocolo_1
331,B,75,73,77,84315.0,C,fragil,normal,Protocolo_1
332,A,50,49,55,26950.0,B,fragil,refrigerado,Protocolo_1
333,C,10,14,14,392.0,C,normal,normal,Protocolo_1
334,C,10,7,9,126.0,D,normal,normal,Protocolo_1
335,A,50,48,45,21600.0,C,normal,normal,Protocolo_2
336,B,75,72,79,85320.0,B,normal,normal,Protocolo_2
337,B,75,79,76,90060.0,C,normal,normal,Protocolo_2
338,A,50,51,51,26010.0,D,normal,normal,Protocolo_2
339,C,10,14,11,308.0,C,normal,normal,Protocolo_1
340,B,75,71,74,78810.0,D,normal,normal,Protocolo_2
341,C,10,6,13,156.0,B,normal,normal,Protocolo_1
342,C,10,9,12,216.0,A,normal,normal,Protocolo_1
343,A,50,46,45,20700.0,C,normal,normal,Protocolo_2
344,C,10,9,10,180.0,D,fragil,normal,Protocolo_1
345,B,75,74,75,83250.0,A,fragil,normal,Protocolo_1
346,B,75,76,78,88920.0,D,fragil,normal,Protocolo_1
347,C,10,5,13,130.0,A,normal,normal,Protocolo_1
348,B,75,71,70,74550.0,D,fragil,refrigerado,Protocolo_1
349,B,75,72,73,78840.0,D,normal,normal,Protocolo_2
350,A,50,51,45,22950.0,C,normal,normal,Protocolo_2
351,A,50,49,49,24010.0,A,normal,normal,Protocolo_2
352,A,50,47,48,22560.0,D,fragil,refrigerado,Protocolo_1
353,C,10,12,10,240.0,D,normal,normal,Protocolo_1
354,C,10,6,12,144.0,C,normal,normal,Protocolo_1
355,C,10,10,15,300.0,B,fragil,refrigerado,Protocolo_1
356,A,50,48,47,22560.0,A,fragil,normal,Protocolo_1
357,B,75,75,75,84375.0,B,fragil,normal,Protocolo_1
358,C,10,13,12,312.0,A,normal,normal,Protocolo_1
359,B,75,80,76,91200.0,B,normal,refrigerado,Protocolo_1
360,B,75,78,77,90090.0,D,normal,normal,Protocolo_2
361,B,75,77,76,87780.0,A,normal,normal,Protocolo_2
362,B,75,72,79,85320.0,B,fragil,normal,Protocolo_1
363,B,75,75,79,88875.0,B,fragil,refrigerado,Protocolo_1
364,B,75,75,74,83250.0,C,normal,normal,Protocolo_2
365,B,75,75,76,85500.0,A,normal,refrigerado,Protocolo_1
366,B,75,74,80,88800.0,B,normal,normal,Protocolo_2
367,A,50,52,54,28080.0,A,normal,refrigerado,Protocolo_1
368,B,75,73,78,85410.0,B,normal,normal,Protocolo_2
369,A,50,47,49,23030.0,D,fragil,normal,Protocolo_1
370,B,75,80,77,92400.0,A,fragil,normal,Protocolo_1
371,C,10,8,6,96.0,C,normal,refrigerado,Protocolo_1
372,A,50,52,50,26000.0,C,fragil,normal,Protocolo_1
373,B,75,71,75,79875.0,C,normal,normal,Protocolo_2
374,B,75,80,80,96000.0,A,normal,normal,Protocolo_2
375,C,10,14,8,224.0,A,normal,normal,Protocolo_1
376,C,10,15,7,210.0,B,fragil,normal,Protocolo_1
377,C,10,8,13,208.0,C,normal,refrigerado,Protocolo_1
378,C,10,8,7,112.0,C,normal,normal,Protocolo_1
379,A,50,50,49,24500.0,B,normal,refrigerado,Protocolo_1
380,C,10,9,12,216.0,A,fragil,normal,Protocolo_1
381,A,50,45,49,22050.0,B,fragil,normal,Protocolo_1
382,C,10,8,14,224.0,B,normal,normal,Protocolo_1
383,B,75,79,78,92430.0,D,fragil,normal,Protocolo_1
384,B,75,75,80,90000.0,B,normal,normal,Protocolo_2
385,B,75,75,76,85500.0,D,fragil,refrigerado,Protocolo_1
386,C,10,6,13,156.0,A,normal,normal,Protocolo_1
387,C,10,14,14,392.0,C,normal,refrigerado,Protocolo_1
388,C,10,10,14,280.0,B,fragil,normal,Protocolo_1
389,C,10,11,9,198.0,D,normal,normal,Protocolo_1
390,C,10,9,10,180.0,A,normal,normal,Protocolo_1
391,B,75,70,77,80850.0,C,fragil,normal,Protocolo_1
392,C,10,14,5,140.0,C,normal,refrigerado,Protocolo_1
393,C,10,15,7,210.0,D,normal,normal,Protocolo_1
394,A,50,49,51,24990.0,B,normal,normal,Protocolo_2
395,C,10,14,10,280.0,C,fragil,refrigerado,Protocolo_1
396,B,75,73,74,81030.0,B,normal,normal,Protocolo_2
397,A,50,53,49,25970.0,C,fragil,normal,Protocolo_1
398,B,75,75,74,83250.0,B,normal,refrigerado,Protocolo_1
399,C,10,14,9,252.0,D,fragil,normal,Protocolo_1
400,A,50,52,48,24960.0,B,normal,normal,Protocolo_2
401,A,50,55,47,25850.0,B,normal,normal,Protocolo_2
402,C,10,8,15,240.0,A,normal,refrigerado,Protocolo_1
403,B,75,73,79,86505.0,B,fragil,refrigerado,Protocolo_1
404,B,75,72,71,76680.0,D,normal,refrigerado,Protocolo_1
405,B,75,73,72,78840.0,D,normal,refrigerado,Protocolo_1
406,C,10,13,7,182.0,D,normal,refrigerado,Protocolo_1
407,C,10,13,8,208.0,A,normal,normal,Protocolo_1
408,B,75,80,77,92400.0,C,normal,normal,Protocolo_2
409,B,75,70,74,77700.0,B,fragil,normal,Protocolo_1
410,B,75,79,77,91245.0,A,normal,refrigerado,Protocolo_1
411,A,50,52,47,24440.0,C,fragil,normal,Protocolo_1
412,A,50,47,48,22560.0,C,normal,normal,Protocolo_2
413,C,10,10,6,120.0,C,fragil,refrigerado,Protocolo_1
414,C,10,15,5,150.0,D,normal,normal,Protocolo_1
415,A,50,51,48,24480.0,A,normal,normal,Protocolo_2
416,A,50,53,48,25440.0,C,normal,normal,Protocolo_2
417,B,75,73,78,85410.0,C,normal,normal,Protocolo_2
418,A,50,53,48,25440.0,A,normal,refrigerado,Protocolo_1
419,C,10,6,13,156.0,B,normal,normal,Protocolo_1
420,B,75,72,80,86400.0,C,normal,normal,Protocolo_2
421,C,10,15,14,420.0,A,fragil,normal,Protocolo_1
422,C,10,10,10,200.0,D,normal,normal,Protocolo_1
423,C,10,7,12,168.0,B,fragil,normal,Protocolo_1
424,C,10,8,13,208.0,C,fragil,normal,Protocolo_1
425,B,75,75,76,85500.0,A,fragil,normal,Protocolo_1
426,B,75,76,74,84360.0,D,normal,normal,Protocolo_2
427,C,10,15,7,210.0,C,fragil,normal,Protocolo_1
428,B,75,74,72,79920.0,C,fragil,normal,Protocolo_1
429,B,75,72,74,79920.0,B,normal,normal,Protocolo_2
430,B,75,76,75,85500.0,A,normal,normal,Protocolo_2
431,A,50,47,47,22090.0,D,normal,normal,Protocolo_2
432,A,50,45,55,24750.0,C,normal,normal,Protocolo_2
433,C,10,11,13,286.0,D,normal,normal,Protocolo_1
434,A,50,52,51,26520.0,D,fragil,refrigerado,Protocolo_1
435,C,10,15,7,210.0,C,fragil,normal,Protocolo_1
436,B,75,71,78,83070.0,D,normal,refrigerado,Protocolo_1
